автономная некоммерческая организация; АНО

автономное учреждение; АУ

автотранспортное предприятие; АТП

адвокатская палата; АП

акционерное общество; АО

публичное акционерное общество; ПАО

аптека; а-ка

артель; Арт

ассоциация; АС

ассоциация крестьянских фермерских хозяйств; АСКФХ

библиотека; б-ка

благотворительный фонд; БФ

больница; б-ца

больница скорой помощи; БСП

бюджетное учреждение; БУ

внебюджетный фонд; ВБФ

гаражно-строительный кооператив; ГСК

гаражный кооператив; ГК

государственное бюджетное учреждение; ГБУ

государственное казенное учреждение; ГКУ

государственное предприятие; ГП

государственное унитарное предприятие; ГУП

государственное учреждение; ГУЧ

дачное товарищество; ДТ

детский сад; Д/С

дорожное строительное управление; ДСУ

духовное образовательное учреждение; ДОУч

железная дорога; ЖД

жилищно-строительный кооператив; ЖСК

завод; з-д

закрытое акционерное общество; ЗАО

институт; ин-т

колхоз; КЛХ

коммерческая фирма; КФ

коммерческий банк; Комбанк

коммерческий центр; КЦ

компания; комп

конструкторское бюро; КБ

кооператив; КООП

корпорация; Корп

кредитный союз; КС

крестьянское фермерское хозяйство; КФХ

крестьянское хозяйство; КХ

личное подсобное хозяйство; ЛПХ

малое предприятие; МП

медсанчасть; МСЧ

межгосударственная финансово-промышленная группа; МФПГ

межотраслевой внебюджетный фонд; МВБД

межхозяйственное предприятие; МХП

монастырь;

муниципальное предприятие; МУП

муниципальное казенное предприятие; МКП

муниципальное унитарное предприятие; МУУП

муниципальное учреждение; МУУЧ

муниципальное казенное учреждение; МКУ

муниципальное бюджетное учреждение; МБУ

научно-производственная фирма; НПФ

научно-производственное объединение; НПО

научно-производственное предприятие; НПП

научно-технический центр; НТЦ

некоммерческое партнерство; НП

нотариальная контора; НОТК

нотариальная палата; НОТП

обособленное подразделение; ОБП

обособленное структурное подразделение; ОСП

объединение крестьянских фермерских хозяйств; ОКФХ

общероссийский профсоюз; Опроф

общественная организация; ОО

общественное движение; ОД

общественное объединение; ООБ

общественное учреждение; ОУЧ

общественный фонд; ОФ

общество с дополнительной ответственностью; ОДО

общество с ограниченной ответственностью; ООО

община;

объединение предприятий; ОП

объединение фермерских хозяйств; ОФХ

огородническое товарищество; ОТ

орган общественной самодеятельности; ООС

отделение; ОТД

открытое акционерное общество; ОАО

отраслевой внебюджетный фонд; ОВБД

паевой инвестиционный фонд; ПИФ

партия;

пассажирское автотранспортное предприятие; ПАТП

первичная профсоюзная организация; ППО

поликлиника; п-ка

полное товарищество; ПТ

потребительский кооператив; ПТК

потребительский союз; ПС

потребительское общество; ПОБ

предприятие общественной организации; ПОО

предприятие потребительской кооперации; ППКООП

представительство; ПРЕД

приход;

производственное объединение;

производственно-коммерческая компания; ПКК

производственно-коммерческая фирма; ПКФ

производственно-коммерческое предприятие; ПКП

производственный кооператив; ПК

простое товарищество; ПрТ

профсоюзный комитет; ПРОФКОМ

редакция средств массовой информации; РедСМИ

религиозная организация; РО

религиозное общество; РОБ

ремонтно-строительное управление; РСУ

ремонтно-эксплуатационное управление; РЭУ

садоводческое товарищество; СТ

сельскохозяйственный кооператив; СХК

сельскохозяйственный потребительский кооператив; СХПК

семейное предприятие; СЕМ

смешанное товарищество; СМТ

совместное предприятие; СП

совхоз; СВХ

союз крестьянских фермерских хозяйств; СоюзКФХ

союз потребительских обществ; СоюзПОБ

специализированное конструкторское бюро; СКБ

строительно-монтажное управление; СМУ

структурное подразделение; СТП

территориальная организация профсоюза; ТОПроф

территориальное общественное самоуправление; ТОС

товарищество на вере;

товарищество собственников жилья; ТСЖ

торговая фирма; ТФ

торгово-промышленная палата; ТПП

торговый дом; ТД

транснациональная финансово-промышленная группа; ТФПГ

управление производственно-технической комплектации; УПТК

учреждение;

учреждение потребительской кооперации; УЧПТК

учреждение общественной организации; УОО

федеральное государственное унитарное предприятие; ФГУП

федеральное казенное предприятие; ФКП

федеральное бюджетное учреждение; ФБУ

федеральное государственное учреждение; ФГУ

федеральное государственное бюджетное учреждение; ФГБУ

федеральное казенное учреждение; ФКУ

филиал; ФЛ

филиал фонда; ФФ

финансово-инвестиционная компания; ФИК

финансово-промышленная группа; ФПГ

группа компаний;

компания;

финансовый отдел; ФИНОТДЕЛ

фирма;

фонд;

индивидуальный предприниматель; ИП

хозяйственное управление; ХОЗУ

церковь;

централизованная бухгалтерия; ЦБУХ

централизованная районная бухгалтерия; ЦРБУХ

центральная районная больница; ЦРБ

центр досуга населения; ЦДН

частное охранное предприятие; ЧОП

частное учреждение; ЧУ

чековый инвестиционный фонд; ЧИФ

школа;

лицей;

университет;

ясли-сад; Я/С
